,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
142,Santa Cruz County Career Advancement Charter,KIPP Navigate College Prep,Campbell School of Innovation,Legacy Academy,Oxford Day Academy,Connecting Waters Charter - East Bay,"(36.938323, -121.77174)","(37.252798, -121.81957)","(37.283434, -121.95556)","(37.338809, -121.87912)","(37.465858, -122.13272)","(37.603623, -122.0253)",36.938323,37.252798,37.283434,37.338809,37.465858,37.603623,-121.77174,-121.81957,-121.95556,-121.87912,-122.13272,-122.0253,0.91688186,0.9168195,0.93531203,0.90953594,0.9586507,0.9071579,Safe,Safe,Safe,Safe,Safe,Safe,48.0,89.0,300.0,13.0,48.0,106.0,0.0,21.846373500574995,25.873628582703173,28.246592861356614,41.47223805123053,47.960979005353444
143,Tree of Life International Charter,Stellar Charter,PACE Academy Charter,Phoenix Charter Academy,Achieve Charter High,Pivot Charter School North Valley II,"(40.466409, -122.33277)","(40.530906, -122.37241)","(40.561832, -122.3569)","(40.575795, -122.35501)","(39.761657, -121.81632)","(39.734808, -121.82143)",40.466409,40.530906,40.561832,40.575795,39.761657,39.734808,-122.33277,-122.37241,-122.3569,-122.35501,-121.81632,-121.82143,0.9586507,0.8156694,0.9586507,0.6997426,0.7829722,0.9586507,Safe,Safe,Safe,Risky,Risky,Safe,87.0,226.0,83.0,295.0,48.0,122.0,0.0,4.91574433368504,6.7056745551053725,7.6379377342172035,55.79207427075972,57.287633472654946
144,PACE Academy Charter,Phoenix Charter Academy,Stellar Charter,Tree of Life International Charter,Achieve Charter High,Pivot Charter School North Valley II,"(40.561832, -122.3569)","(40.575795, -122.35501)","(40.530906, -122.37241)","(40.466409, -122.33277)","(39.761657, -121.81632)","(39.734808, -121.82143)",40.561832,40.575795,40.530906,40.466409,39.761657,39.734808,-122.3569,-122.35501,-122.37241,-122.33277,-121.81632,-121.82143,0.9586507,0.6997426,0.8156694,0.9586507,0.7829722,0.9586507,Safe,Risky,Safe,Safe,Risky,Safe,83.0,295.0,226.0,87.0,48.0,122.0,0.0,0.9685733506450119,2.284736310076941,6.7056745551053725,62.183799504394806,63.715709691992295
145,Phoenix Charter Academy,PACE Academy Charter,Stellar Charter,Tree of Life International Charter,Achieve Charter High,Pivot Charter School North Valley II,"(40.575795, -122.35501)","(40.561832, -122.3569)","(40.530906, -122.37241)","(40.466409, -122.33277)","(39.761657, -121.81632)","(39.734808, -121.82143)",40.575795,40.561832,40.530906,40.466409,39.761657,39.734808,-122.35501,-122.3569,-122.37241,-122.33277,-121.81632,-121.82143,0.6997426,0.9586507,0.8156694,0.9586507,0.7829722,0.9586507,Risky,Safe,Safe,Safe,Risky,Safe,295.0,83.0,226.0,87.0,48.0,122.0,0.0,0.9685733506450119,3.2298996639666457,7.6379377342172035,62.99405820986556,64.53481569171001
146,Stellar Charter,PACE Academy Charter,Phoenix Charter Academy,Tree of Life International Charter,Achieve Charter High,Pivot Charter School North Valley II,"(40.530906, -122.37241)","(40.561832, -122.3569)","(40.575795, -122.35501)","(40.466409, -122.33277)","(39.761657, -121.81632)","(39.734808, -121.82143)",40.530906,40.561832,40.575795,40.466409,39.761657,39.734808,-122.37241,-122.3569,-122.35501,-122.33277,-121.81632,-121.82143,0.8156694,0.9586507,0.6997426,0.9586507,0.7829722,0.9586507,Safe,Safe,Risky,Safe,Risky,Safe,226.0,83.0,295.0,87.0,48.0,122.0,0.0,2.284736310076941,3.2298996639666457,4.91574433368504,60.69445192105081,62.196020414014455
147,Northern United - Siskiyou Charter,Phoenix Charter Academy,PACE Academy Charter,Stellar Charter,Tree of Life International Charter,Northern United - Humboldt Charter,"(41.72874, -122.63768)","(40.575795, -122.35501)","(40.561832, -122.3569)","(40.530906, -122.37241)","(40.466409, -122.33277)","(40.758299, -124.14839)",41.72874,40.575795,40.561832,40.530906,40.466409,40.758299,-122.63768,-122.35501,-122.3569,-122.37241,-122.33277,-124.14839,0.9054555,0.6997426,0.9586507,0.8156694,0.9586507,0.94890237,Safe,Risky,Safe,Safe,Safe,Safe,131.0,295.0,83.0,226.0,87.0,418.0,0.0,80.91629221198441,81.84638779282649,83.80988534541702,88.5515800637705,103.32406615965925
148,MIT Griffin Academy Middle,Voices College-Bound Language Academy at West Contra Costa County,Invictus Academy of Richmond,REALM Charter,Ross Valley Charter,Opportunity Academy,"(38.14812, -122.24922)","(37.997474, -122.30217)","(37.985734, -122.30765)","(37.867407, -122.29489)","(37.989788, -122.59033)","(37.783496, -122.23538)",38.14812,37.997474,37.985734,37.867407,37.989788,37.783496,-122.24922,-122.30217,-122.30765,-122.29489,-122.59033,-122.23538,0.980271,0.9693067,0.980271,0.96599644,0.8998847,0.80295205,Safe,Safe,Safe,Safe,Safe,Safe,136.0,133.0,78.0,383.0,127.0,23.0,0.0,10.783809061994967,11.644235383572719,19.520554252142347,21.568047059782455,25.159327147881058
149,West County Charter Middle,California STEAM Sonoma II,Pivot Charter School - North Bay,Ross Valley Charter,MIT Griffin Academy Middle,Voices College-Bound Language Academy at West Contra Costa County,"(38.47332, -122.88807)","(38.511197, -122.99636)","(38.465996, -122.72881)","(37.989788, -122.59033)","(38.14812, -122.24922)","(37.997474, -122.30217)",38.47332,38.511197,38.465996,37.989788,38.14812,37.997474,-122.88807,-122.99636,-122.72881,-122.59033,-122.24922,-122.30217,0.9586507,0.8509858,0.9586507,0.8998847,0.980271,0.9693067,Safe,Safe,Safe,Safe,Safe,Safe,74.0,16.0,357.0,127.0,136.0,133.0,0.0,6.425489644153691,8.650899365269344,37.076152050035404,41.333804361228445,45.75048768470343
150,California STEAM Sonoma II,West County Charter Middle,Pivot Charter School - North Bay,Ross Valley Charter,MIT Griffin Academy Middle,Voices College-Bound Language Academy at West Contra Costa County,"(38.511197, -122.99636)","(38.47332, -122.88807)","(38.465996, -122.72881)","(37.989788, -122.59033)","(38.14812, -122.24922)","(37.997474, -122.30217)",38.511197,38.47332,38.465996,37.989788,38.14812,37.997474,-122.99636,-122.88807,-122.72881,-122.59033,-122.24922,-122.30217,0.8509858,0.9586507,0.9586507,0.8998847,0.980271,0.9693067,Safe,Safe,Safe,Safe,Safe,Safe,16.0,74.0,357.0,127.0,136.0,133.0,0.0,6.425489644153691,14.835842429461234,42.20242585822708,47.696123275708665,51.77766069211496
151,Connecting Waters Charter School - Central Valley,Aspire University Charter,Delta Keys Charter,Team Charter Academy,Come Back Charter,Rocketship Delta Prep,"(37.670894, -121.02788)","(37.618789, -121.00358)","(37.808382, -121.29499)","(37.953265, -121.28345)","(37.29712, -120.48848)","(38.005791, -121.79727)",37.670894,37.618789,37.808382,37.953265,37.29712,38.005791,-121.02788,-121.00358,-121.29499,-121.28345,-120.48848,-121.79727,0.9586507,0.9540428,0.81790024,0.83642715,0.94299734,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,321.0,355.0,63.0,153.0,19.0,422.0,0.0,3.83259234297646,17.433523938339572,23.9749386795401,39.28340983531132,48.004251671830964
152,Aspire University Charter,Connecting Waters Charter School - Central Valley,Delta Keys Charter,Team Charter Academy,Come Back Charter,Rocketship Delta Prep,"(37.618789, -121.00358)","(37.670894, -121.02788)","(37.808382, -121.29499)","(37.953265, -121.28345)","(37.29712, -120.48848)","(38.005791, -121.79727)",37.618789,37.670894,37.808382,37.953265,37.29712,38.005791,-121.00358,-121.02788,-121.29499,-121.28345,-120.48848,-121.79727,0.9540428,0.9586507,0.81790024,0.83642715,0.94299734,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,355.0,321.0,63.0,153.0,19.0,422.0,0.0,3.83259234297646,20.63679829413231,27.690961551731455,35.972352043785364,50.973223861272544
153,AeroSTEM Academy,John Adams Academy - Lincoln,Placer Academy Charter,Arete Charter Academy,Yolo County Career Academy,Century High School An Integrated Global Studies Academy,"(39.130282, -121.61047)","(38.881547, -121.26908)","(38.805258, -121.27046)","(39.051179, -121.07043)","(38.695203, -121.75774)","(38.72372, -121.2927)",39.130282,38.881547,38.805258,39.051179,38.695203,38.72372,-121.61047,-121.26908,-121.27046,-121.07043,-121.75774,-121.2927,0.9480095,0.9586507,0.8060674,0.70529926,0.9480095,0.5731901,Safe,Safe,Safe,Risky,Safe,Risky,62.0,177.0,358.0,11.0,27.0,15.0,0.0,25.14011274967294,28.947192792440244,29.539976459173115,31.043814178756428,32.85864233656014
154,Sycamore Valley Academy,Crescent Valley Public Charter II,Global Learning Charter,Blue Oak Academy,Kings Valley Academy II,Hanford Online Charter,"(36.298371, -119.42088)","(36.330444, -119.29169)","(36.353067, -119.30301)","(36.298876, -119.24264)","(36.32633, -119.64964)","(36.333585, -119.66268)",36.298371,36.330444,36.353067,36.298876,36.32633,36.333585,-119.42088,-119.29169,-119.30301,-119.24264,-119.64964,-119.66268,0.979431,0.8509858,0.9581269,0.9586507,0.9459435,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,378.0,384.0,367.0,126.0,692.0,2.0,0.0,7.54061160368145,7.58103477109118,9.948193053309511,12.910313084099029,13.709344639929705
155,Blue Oak Academy,Crescent Valley Public Charter II,Global Learning Charter,Sycamore Valley Academy,Porterville Military Academy,Kings Valley Academy II,"(36.298876, -119.24264)","(36.330444, -119.29169)","(36.353067, -119.30301)","(36.298371, -119.42088)","(36.092398, -119.03781)","(36.32633, -119.64964)",36.298876,36.330444,36.353067,36.298371,36.092398,36.32633,-119.24264,-119.29169,-119.30301,-119.42088,-119.03781,-119.64964,0.9586507,0.8509858,0.9581269,0.979431,0.9540428,0.9459435,Safe,Safe,Safe,Safe,Safe,Safe,126.0,384.0,367.0,378.0,162.0,692.0,0.0,3.4970371298621488,5.030565715698182,9.948193053309511,18.26786119034245,22.79062503024032
156,Porterville Military Academy,Blue Oak Academy,Crescent Valley Public Charter II,Global Learning Charter,Sycamore Valley Academy,Kings Valley Academy II,"(36.092398, -119.03781)","(36.298876, -119.24264)","(36.330444, -119.29169)","(36.353067, -119.30301)","(36.298371, -119.42088)","(36.32633, -119.64964)",36.092398,36.298876,36.330444,36.353067,36.298371,36.32633,-119.03781,-119.24264,-119.29169,-119.30301,-119.42088,-119.64964,0.9540428,0.9586507,0.8509858,0.9581269,0.979431,0.9459435,Safe,Safe,Safe,Safe,Safe,Safe,162.0,126.0,384.0,367.0,378.0,692.0,0.0,18.26786119034245,21.693759285019645,23.292456474469915,25.690606865470098,37.80081775763839
157,Global Learning Charter,Crescent Valley Public Charter II,Blue Oak Academy,Sycamore Valley Academy,Kings Valley Academy II,Hanford Online Charter,"(36.353067, -119.30301)","(36.330444, -119.29169)","(36.298876, -119.24264)","(36.298371, -119.42088)","(36.32633, -119.64964)","(36.333585, -119.66268)",36.353067,36.330444,36.298876,36.298371,36.32633,36.333585,-119.30301,-119.29169,-119.24264,-119.42088,-119.64964,-119.66268,0.9581269,0.8509858,0.9586507,0.979431,0.9459435,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,367.0,384.0,126.0,378.0,692.0,2.0,0.0,1.6828354528617888,5.030565715698182,7.58103477109118,19.424031399762818,20.107758386255757
158,Crescent Valley Public Charter II,Global Learning Charter,Blue Oak Academy,Sycamore Valley Academy,Kings Valley Academy II,Hanford Online Charter,"(36.330444, -119.29169)","(36.353067, -119.30301)","(36.298876, -119.24264)","(36.298371, -119.42088)","(36.32633, -119.64964)","(36.333585, -119.66268)",36.330444,36.353067,36.298876,36.298371,36.32633,36.333585,-119.29169,-119.30301,-119.24264,-119.42088,-119.64964,-119.66268,0.8509858,0.9581269,0.9586507,0.979431,0.9459435,0.6418402,Safe,Safe,Safe,Safe,Safe,Risky,384.0,367.0,126.0,378.0,692.0,2.0,0.0,1.6828354528617888,3.4970371298621488,7.54061160368145,19.972722798609308,20.69840736861759
159,Washington Middle College High,NorCal Trade and Tech,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Marconi Learning Academy,Growth Public,SAVA - Sacramento Academic and Vocational Academy - EGUSD,"(38.569912, -121.53426)","(38.516154, -121.46378)","(38.526859, -121.40977)","(38.617579, -121.4041)","(38.562263, -121.35311)","(38.426659, -121.46097)",38.569912,38.516154,38.526859,38.617579,38.562263,38.426659,-121.53426,-121.46378,-121.40977,-121.4041,-121.35311,-121.46097,0.97680116,0.7603792,0.9670794,0.93835765,0.96599644,0.9586507,Safe,Risky,Safe,Safe,Safe,Safe,46.0,48.0,534.0,237.0,112.0,316.0,0.0,5.322290870347529,7.368261617562377,7.7754086693818065,9.824238994483041,10.649719729459767
160,Yolo County Career Academy,Washington Middle College High,Marconi Learning Academy,NorCal Trade and Tech,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Growth Public,"(38.695203, -121.75774)","(38.569912, -121.53426)","(38.617579, -121.4041)","(38.516154, -121.46378)","(38.526859, -121.40977)","(38.562263, -121.35311)",38.695203,38.569912,38.617579,38.516154,38.526859,38.562263,-121.75774,-121.53426,-121.4041,-121.46378,-121.40977,-121.35311,0.9480095,0.97680116,0.93835765,0.7603792,0.9670794,0.96599644,Safe,Safe,Safe,Risky,Safe,Safe,27.0,46.0,237.0,48.0,534.0,112.0,0.0,14.862265470260722,19.862436861033093,20.141305452121742,22.12447778673382,23.736212120635763
